lev1_name,lev2_name,gfcfc_Accommodation and food services,"gfcfc_Administrative and support, waste management and remediation services",gfcfc_Animal production,"gfcfc_Arts, entertainment and recreation",gfcfc_Beverage and tobacco product manufacturing,gfcfc_Chemical manufacturing,gfcfc_Clothing and leather and allied product manufacturing,gfcfc_Computer and electronic product manufacturing,gfcfc_Construction,gfcfc_Crop production,gfcfc_Defence services,gfcfc_Educational services (private),gfcfc_Educational services (public),"gfcfc_Electrical equipment, appliance and component manufacturing",gfcfc_Fabricated metal product manufacturing,gfcfc_Finance and insurance,"gfcfc_Fishing, hunting and trapping",gfcfc_Food manufacturing,gfcfc_Forestry and logging,gfcfc_Furniture and related product manufacturing,gfcfc_Health care and social assistance,gfcfc_Holding companies,gfcfc_Hospitals,gfcfc_Information and cultural industries,gfcfc_Machinery manufacturing,gfcfc_Mining and quarrying (except oil and gas),gfcfc_Miscellaneous manufacturing,gfcfc_Non-metallic mineral product manufacturing,gfcfc_Non-profit institutions serving households,gfcfc_Nursing and residential care facilities,gfcfc_Oil and gas extraction (except oil sands),gfcfc_Oil sands extraction,gfcfc_Other aboriginal government services,gfcfc_Other federal government services (except defence),gfcfc_Other municipal government services,gfcfc_Other provincial and territorial government services,gfcfc_Other services,gfcfc_Paper manufacturing,gfcfc_Petroleum and coal product manufacturing,gfcfc_Plastics and rubber products manufacturing,gfcfc_Primary metal manufacturing,gfcfc_Printing and related support activities,"gfcfc_Professional, scientific and technical services",gfcfc_Real estate and rental and leasing,gfcfc_Residential structures,gfcfc_Retail trade,gfcfc_Support activities for agriculture and forestry,"gfcfc_Support activities for mining, and oil and gas extraction",gfcfc_Textile and textile product mills,gfcfc_Transportation and warehousing,gfcfc_Transportation equipment manufacturing,gfcfc_Utilities,gfcfc_Wholesale trade,gfcfc_Wood product manufacturing
ConstructionSector,DirectEmissions,37608061.85046869,18696639.795562893,26119319.798835903,57286162.84823387,2539806.236017129,18481276.926750313,296296.09872745926,523904.6267201886,12587890.548502771,41165270.25433805,12595536.99107761,2368379.7510150396,120719446.72355726,411036.6468809039,1348491.4885401905,15762115.800872337,187219.9577053002,13563519.405500622,4845255.025683232,545932.099458313,10682701.173882362,5548532.011997167,55504828.56102563,494113827.428455,3381464.631959931,374415870.46077865,516653.5767794303,1638396.2204133752,26401085.84929029,5573104.874135331,732260792.7673291,242848737.19568372,42311906.781881236,143181569.71840766,1047814735.1946815,545912400.0817133,6371140.786961204,1727443.098058369,24324087.19280873,1865793.1785779197,18479460.830040056,316248.9185654152,12921646.972040592,71697360.10787857,2200232495.9019313,53071080.68195647,741055.7386509373,4637356.990564875,555703.0107385776,914382686.1509467,6410740.00221256,1278334790.3243194,24635189.541101225,4437524.071477848
ConstructionSector,Energy,18604817.2467675,8782644.98423544,11752104.68084822,23196310.618288618,1083170.7152131544,9596405.76206485,121834.71606541928,216844.80186255925,6754642.28684787,17986609.12692066,5278123.51306715,1009998.9686683667,41960265.645551056,205152.0916610528,732227.9262205691,7064493.617705743,139573.33132453868,6372624.118712919,1873498.2367838356,211342.73103032776,5611314.034247611,2353700.3933971697,20289239.733754188,170733403.47166643,1478615.7477391341,160961774.37360546,217570.82045514692,1723327.8610124788,8632741.78326931,2112501.9843253638,337530066.65206367,141996152.93464062,16288077.406326892,42861606.68504804,356152919.71858025,189043050.19987425,2636697.31570904,851246.3069390029,10299981.489415945,796003.5438991312,6083044.906389447,134181.68250905466,5534369.972594937,32581797.28206764,1248662881.0613477,27144784.669704493,249401.83744046942,2621219.865229052,217887.46812340486,317223777.9569805,2204221.8547061435,402303801.8799912,12305800.334011644,2203309.184363165
Materials,Concrete,196453105.19220105,44040639.58340325,83226949.69212492,130200625.72200333,14398344.187306484,92612705.63972446,1061175.7121633838,2673386.58902793,70926163.28165662,144005303.77697864,43391670.788038306,15746144.581486186,635527029.4073694,1333225.8093299933,8181152.219770064,77866167.10958421,1539893.8975759018,63489612.27811382,9058279.473010711,2259587.4673469737,55908542.2342304,22845350.921658847,292124667.2215633,93196282.50321081,14268920.120015312,404560621.0290543,2223173.518792797,5660862.138618728,81694411.42806362,32424022.384048022,152233061.24217358,42104603.37427811,90585105.5817099,277623891.440825,1544468176.3100567,784106802.2624464,30739620.647342194,8387784.07674173,13580921.73270027,6725126.13579867,45928250.443117484,1239147.8321889292,53450155.970843635,358370395.74810165,4683181174.732766,232038184.44342592,2409067.6283610696,8841858.9474819,3387747.0481326473,1141540683.8400338,24925890.19667105,718831557.4814893,84677892.92542258,24136495.997686747
Materials,EarthworkAndLandscaping_Materials,37687867.32102673,3875395.252752285,13182135.393510817,15445794.017883973,2579000.92559256,20837954.536772422,219220.44931330511,387297.8876169692,13851892.438303491,25178561.496238466,4782259.1416268945,2900100.5672765304,112992559.86321662,177562.9466700265,1355078.493539004,12851531.274449687,272945.72357184434,13900735.55898454,1112149.3475084053,324598.05342599,10958099.672457715,3955091.433866442,53931058.073388,12058041.534256993,2445619.4304518923,20902843.0491308,377558.49962978595,1007887.1065557211,11088891.016202243,6063777.381332462,10134696.602455197,3978330.710385909,13035616.42220487,25625231.85866477,142171023.39784962,95712051.1379668,5410471.601799794,932679.7651346177,779343.7088331794,927483.5592855132,6179605.649403505,183632.48682436504,9162811.086016256,61449164.47861249,401728802.8413532,42818534.597765796,408586.7941885746,1332837.1830676002,511272.9916012139,128909672.92813532,3196854.241955133,10121082.629547028,16918431.385955058,4623171.728127846
Materials,Energy,527987.0393433514,87459.7913964665,206975.1629060769,635037.7689362051,39056.801384500446,279894.37295315065,3728.348233728479,7915.852660785083,195046.75062955925,397075.05233577435,174290.06232951293,37075.29328861364,1672599.7778672054,3548.6364557210795,19392.263303090276,242661.2923929649,1647.9186937116106,182476.78517167782,162271.3134750667,7314.304119859092,162971.37182606477,73800.20763219823,849736.9724026951,1191692.1943467834,45780.121292203854,387741.1602323461,5931.4831497661135,25598.33157650652,316086.82883840415,64730.82713091584,21668528.355369933,7581040.313883412,304735.5958727689,2180811.8093295014,15140250.225695098,10903189.804075694,104632.90120690982,28549.85202065589,493580.1742853004,15772.55422591613,89995.20942250035,4168.788761864162,163255.56297003786,1085561.6606879828,30289983.288264047,775576.5404955383,10099.96302795558,16732.968665967426,7099.634958445034,19489416.01162708,66732.92771568114,3985549.005041827,362717.6584548107,78516.32487486448
Materials,ExteriorImprovements,10457122.210716287,1886275.7046242834,3966855.782945139,18232426.435208492,836076.2651937286,5920130.241539827,59340.409034107135,135873.49184808228,3773613.823396466,7920844.250446966,5914353.231793255,692970.7988433877,33671121.88629879,56959.84321631701,415382.3047014202,4180119.9765553083,58143.81455800943,3691125.3018524786,3747123.9121240703,118718.83130892315,3167872.3268682705,1349996.2983489886,19994426.370754384,4969406.624615966,801054.7809891109,15098672.658929922,114134.80630439222,369764.53914740676,11093556.275189698,1667447.639812794,127938081.69463602,47943984.047016904,12728415.58445705,88454184.17232525,576200492.1831329,497155102.15279377,2569006.0008261767,947055.2076845051,3218957.3229257236,288441.04479221953,1972557.0759289186,62909.28324549504,2865775.4403904704,19001216.608642098,1034970595.2963612,13861674.898098202,490230.37499260606,534106.3361410416,165814.8200449273,542878653.0270451,1215023.3111169091,16929688.873653986,7784626.328295513,1752662.726469883
Materials,Finishes,14600457.661456533,1921502.8280738762,5581940.607991438,6905084.844955159,963432.2468722702,8295139.180297968,107682.81760114842,200583.18277308924,5481102.554567071,11252661.86331687,2359795.2628105,1048142.3965034643,49074181.35951463,76043.54751509827,493912.28457931656,6380337.354242287,78460.06667013507,5733725.685291541,132135.03944867823,189167.56275441695,4503316.642718028,2016470.4923191124,20948519.202186875,17120936.70824121,1187382.5076322935,6105196.318836605,161150.9606324183,483745.6787655491,15956214.03791737,2022458.1371773523,3670319.580226027,1561551.0711705983,13078517.423800645,8512502.733787566,42385666.91049017,23784986.94138786,2102913.705535669,287473.85986728274,483763.61898332235,400387.39022925723,2117880.943629856,102291.16104425525,4269974.060146431,29494407.446525168,1470506095.306211,17806766.50838897,191158.85771027504,495006.75059495115,192815.14596716376,30712573.73933616,1703133.4600063178,15152950.493481716,6877308.87925917,1348289.5928177652
Materials,MEP,62485211.6289446,11522234.503607623,25745049.47066222,38054883.80193862,4091644.1847641515,34261639.864073224,455124.93007141235,876387.1587702124,22964511.74568305,49001577.835427254,10270859.631145457,4233610.275503374,208934773.02793273,390132.4206097929,2342169.256827119,26563066.59723939,333891.7831154062,23484897.498856805,1402021.738993862,807446.9625742623,18685180.237208106,8596245.83089327,90548626.03731167,639030271.4299152,5127078.703347676,130977346.80394584,723968.3771204886,2098145.7265010853,33089378.869914662,9945767.031554934,422352202.78484493,155690298.76323012,33906389.10716237,54157729.71444345,341940424.13410145,158053402.53021783,9102371.557950523,1595415.9938249053,10328152.58183814,1998411.0448697924,13894807.490473438,466933.1951730297,19687834.31608758,123156260.15344144,2320272648.061683,77004744.38669021,792677.5977140092,3978835.1200548112,975014.3236439459,352500536.0825949,7899082.755154322,807922949.7407327,30454880.717145838,6449502.075895316
Materials,Masonry,12961762.990031978,2335656.603961752,4925728.523243431,11684237.804134922,908478.9342190011,7116025.563643367,88499.66339540984,140150.76250389952,4722701.607028958,9865662.145862628,3561008.3288862947,962646.2156508027,39754219.59941219,68335.35373372085,437747.05190685176,4775002.612528175,75946.25107270072,5025841.837320414,2540366.5925310203,131168.49465667456,3862480.840613696,1530413.3631668796,20922662.420879714,11015642.928112924,963259.3706071244,19388053.079990022,137331.545663742,401437.93512892217,7027409.173265946,1906129.4341069611,15027365.305565065,6527255.5283269575,9090780.132516077,28454170.39665724,241464632.62175754,161087193.85567278,2233479.4112824593,585485.2555120509,591169.2817866735,345180.6641896474,2394946.5074066487,74248.07742864598,3407229.2219513557,22333398.83274234,473367547.2406562,15637551.26637805,184185.91762458428,748233.7830131253,160132.30742844392,181954727.22628203,1229033.4147080723,39587301.39796395,6836103.037588541,1779237.210477578
Materials,Metals,104777698.59371313,26807692.096921243,46834740.38891467,77278260.61210214,6912042.378213592,56623712.494413845,768462.52233912,1431247.0908491942,37940741.77611023,87586142.33026806,20127686.510157444,7178374.202043305,342800286.03071266,702557.2450968876,3820346.9354521153,44140586.487877965,643193.2840403074,39744907.50163116,3610158.2396398126,1359375.09751121,31103349.28024875,15247948.35661705,153273300.17982665,218685934.74798483,8560684.522729859,317483909.8087403,1236594.3069162786,3592431.855017231,50015539.25818968,15768700.837159308,1293507551.9497378,483621516.68792135,64561222.228670605,117915623.07362844,857888753.8441992,369052731.0981923,15507208.74633277,3029358.770396252,48587435.28778002,3538434.041614051,24629820.932570294,745306.2597793527,30522339.538533192,203612485.89045727,3253567499.7412624,136829006.43457484,1385764.5278568338,7791773.735402433,1577823.1904871683,962537277.9125937,13532742.352509579,1072506161.9373816,57086098.550113134,11974994.08417911
Materials,Openings,8343144.350645103,1591880.678258457,3508896.184645538,4889505.850069596,549133.2089182878,5124866.98338506,64853.29882119093,122932.00132480945,3176272.030221126,6364614.734371962,1569065.5631661697,516598.42482451844,28537243.8390656,61537.528741020906,355111.838646675,3624259.290234311,29789.81311536468,3309722.724163884,93878.8289391984,112046.78203011617,2491039.9766542767,1092646.206475807,12506888.074224116,4458644.341311683,718956.7672624326,13744235.89651488,109694.62684263938,277674.5490225256,10976902.358778305,1558985.5592429277,379670.72660775896,460055.0090271822,8228940.872296184,6260686.961420259,42585071.84265247,17199607.204020422,1203663.016523255,180082.1922600106,168196.6951406244,307678.3195557152,2055371.5303633602,58689.26274009522,2380279.4916421473,16522557.940151513,1063512902.6147592,9954442.092055926,101379.7084022651,465236.2581554818,159822.61312520175,19321273.847019125,1151742.7555124175,35672560.65822045,3987303.265409462,863897.2095451973
Materials,OtherMaterials,12169996.60874593,2545195.258505424,5017792.722508373,9265132.449226886,833286.9779644493,6840206.69208716,88013.51552510107,150003.0957100492,4505866.49801614,9391791.698477978,2529670.649038183,887872.1876292399,37253057.03578977,83420.86761544789,414782.7393915749,4929305.831597933,61149.68879189537,4656063.2880715495,796990.7449763585,144803.9238296835,3647796.467529348,1500255.3993895797,17117521.808236066,16429475.388340747,940575.9204290767,25037702.615498427,139140.5516387741,521870.32975349214,7749663.602517726,1612514.4391307728,133564853.11911343,50900509.51118921,8195060.317305816,19396032.457952928,131827824.39641759,80094019.73651855,1867022.0416794862,404166.4949656699,3273893.6002566735,387850.602053543,2688278.4367391276,79214.15547628418,3418289.6030356963,22922831.707141418,690185939.1719768,15120125.679374915,162771.80741136693,681877.0756053166,145683.30067109322,143473396.12947425,1367527.4083415286,31457471.427318756,6321101.8365854025,1382839.2911667807
Materials,PlasticsAndComposites,26532931.769761793,5329951.047059982,11139958.15661417,15562502.242467064,1696876.356385871,14408451.57815638,193237.41825560454,382157.47696324525,9738514.271431867,21062207.35765049,4324304.960249463,1679907.5505071639,88168184.73775978,178632.266867908,1049273.7808389917,11336207.931809384,121597.16560942729,9814524.025919918,303872.5419887989,346961.95837210654,7934686.8210093845,3476724.803942076,39554025.54294175,13983837.894462856,2209672.3038390074,50683671.9156617,321779.1208021433,887521.2271096716,20323629.6104139,4718566.936992911,61664397.940162584,27820348.504712906,18702577.38608026,17355943.065278042,118202754.9435643,39387105.134347945,3728099.927845329,581845.1603035381,1703265.2091746929,901010.3554024762,5491707.11849074,182541.90278817303,7569533.265820286,51261618.37905466,1697368930.2320719,32302086.121239528,326697.0144510334,1506653.792161825,462758.7309172251,73181927.72163013,3511116.9483602317,33305171.173816822,12863198.058209771,2613872.524251603
Materials,Raw_Materials,14051786.549972901,1810070.5156652739,5071363.879536589,6909685.484279315,986138.2050555933,7104952.927074082,89179.77484886492,161661.59182775987,5114834.550003428,9950033.718343759,2008628.0917166944,1086316.5794599664,42579947.70900381,70539.27815710813,484720.7713474713,5322664.883309121,71688.86149438361,5011996.068307169,276163.61240432155,146357.07612370147,4141980.871118824,1545537.8883483217,21248377.124345586,6386148.30168637,977895.1282696861,12528919.681505404,147666.05625399458,427231.8974690242,5915252.445285616,2516740.3202694124,65432672.09174544,27643867.48421398,6730359.916303882,11829332.842148919,69256698.53304645,45649138.10653789,2004415.564940711,372860.45485737006,1684566.5524791284,360135.38982946746,2384958.125857827,79797.91423209361,3718629.9945843127,24234183.997581676,342188431.0676252,16524795.890867142,183986.0341506256,617098.7459586377,184106.84224327805,72095360.309619,1353846.2171511508,9349549.97127202,6757575.664076301,1590867.710480244
Materials,Specialties,91301.3241487302,26408.309067838196,40025.88297774062,77436.91122910197,7130.608124953449,35057.08692748341,563.3413963750456,1552.4436226416803,32191.107833719794,68675.88798212401,16590.661063850763,7062.812049095811,291357.479752008,1022.3894994886392,3916.4677597826903,44264.397422174596,292.7582456314981,26120.27002351684,3235.0189849468743,1465.8562862090555,26305.708655619503,11355.902148380248,130167.20464891232,3202327.830544035,7958.100402974941,278029.3021485649,1252.6406056440367,4940.574178600957,56360.26297706663,14369.198968304876,137114.29276483363,71709.93922514816,39873.22721632386,156162.85302842053,842147.9228432802,349502.2362838242,13463.639951166262,2662.227589455971,4192.531788994025,4115.113370482744,38784.24082402984,760.8004035575143,39394.12664452345,189493.35574295098,5497538.655169636,107677.21106838589,1218.087151152521,4641.380576317028,1559.448304345747,536225.275084542,15009.715228283152,1458058.1630952174,35459.08934799745,9581.403619755432
Materials,ThermalAndMoistureProtection,18517672.646878775,2687710.6511204033,7780623.878603161,9174564.155381948,1221781.134612931,10811249.174676,149506.8333908898,281042.1557401863,7163956.960193142,15178445.875576437,2604622.7671572454,1250704.7154640811,65213416.90071822,109530.41678372536,714962.44941208,8638319.50127074,167206.6237049781,7798297.097890403,121065.96364738517,265770.0552600188,5826001.476538429,3100355.4392110356,27724659.451203946,6010916.554332941,1654180.5494317568,9525296.016410073,222652.88923216236,629378.0238495707,10805089.11652403,2681962.2243068004,3994086.833785973,1804609.1314284182,9575732.446364596,9948288.416082736,42652537.776398696,17356621.084391277,2769594.6285136556,366187.68653974315,420635.3356493075,587745.6984279102,2694957.423335779,140477.29638369166,5536429.65568634,39880641.92624335,756461109.6325622,23420713.844832096,248410.38356837336,574654.8505705593,303297.36635224463,29040790.229563974,2457434.625105451,6445820.657459858,8924587.866181567,1989812.1212435807
Materials,Wood,33063370.167607505,4492112.434176399,12194775.279092144,14614392.507684616,2264433.9250405813,16614801.341359308,183031.16032498667,384313.06984314,11947919.372185418,23628415.793235485,8092047.240406555,2586591.609565462,102055328.56560646,166013.42474087732,1149700.269165179,12298052.589945795,223903.63182167438,11403614.441257395,513667.1895851017,331955.0304317719,9764889.637355352,3783735.415220885,47602111.33341015,27875164.30243267,2206331.669474891,32409306.764726937,334921.1737986486,901517.7118973666,70956958.07623982,5188829.817622414,6634205.729526034,3656643.235188188,56695370.14110656,18593456.841452643,138955476.28978682,88661420.79848456,4680807.618088985,797444.5467539023,656683.7864865946,850291.336005197,5756749.170137668,182029.99004583736,8677326.9130592,57058166.928479694,7345297144.262619,38167473.13395941,384699.0320478496,1374713.2088252704,442822.9376297064,64048840.73945923,3240609.813144243,28396510.04175347,14589842.789342048,3731885.080579711
Other,Margins,32739450.150729552,5724966.828984312,13363482.436968511,18184819.481744852,1896848.1681019177,22843179.439548228,206926.4357990776,372180.48642545583,12457403.1993373,25692525.247728217,5541332.287551189,2076769.8915990302,105041354.9889629,178204.87824585268,1143076.1470986973,12286420.8957744,170360.71800432174,13542361.884922635,836422.0834492896,331460.6736415079,9958040.554969955,3955411.2363467347,45976564.67253462,66430708.03966156,2509814.90889454,53892290.1382721,345039.22393992695,1138979.0592953777,21624979.831769653,4894888.111661856,264036801.21705863,111953618.00901155,23060775.393376295,24814470.368739747,186590195.65237838,96259539.5649141,4731410.40822208,769801.3108616642,6566255.802305388,888033.4715592933,5394672.005710152,190056.45769911353,8741338.785172949,59639298.23178026,1727920955.4677913,40166084.21889435,376608.6075401689,2035310.9584330341,432916.061682123,197467405.16406834,3238574.455518881,164349581.553921,17769044.644398496,3409487.7486828347
Other,Other,6442064.662003154,1376759.5121367532,2868003.657590502,4017742.3716591173,415091.19436789176,3772067.928579337,61626.15286251579,78158.58471851109,2473775.5525483633,5085387.00355244,919044.8477041513,426045.3750279517,18157579.707013912,51654.91095837678,237790.2707842555,2664890.1742416047,25227.047542151027,2726310.8018990206,109242.57022833143,80576.3150988812,1934553.6918986067,763355.4188198505,7445622.777668584,7152777.658230087,551675.0784879765,10734789.349486575,78577.00391082729,450774.76648769964,3941037.426671519,730002.8490389233,78749688.28977166,34032389.173340395,4127948.083512508,4053915.6556783603,30503739.799991243,10968260.171755636,845842.8400408882,136026.22485761828,1809930.0739138932,229002.9253697833,1208368.8872844134,45615.57121330636,1824253.6062684383,12535634.450060382,437684025.47662866,8419982.068037668,77237.48061041978,323914.88967485505,73467.03784026993,42377590.32488333,692474.0546127767,14512147.484426271,3511895.551668037,632455.068998507
Services,OtherServices,86879400.08725528,24973134.047029357,46813301.56287498,73781237.15645978,4890297.220490331,49915850.76361071,607471.3348377701,1016783.5509344533,32011151.974870287,76345755.95110144,16247430.446951332,4914451.573127066,212911522.9606012,778508.4954544699,3190382.588998746,33445772.858886633,539372.142633632,30992067.325619545,4031550.2461879663,965713.2342150462,26094754.578265514,10862116.98191609,96332885.08720873,184370533.2217873,6742686.798637731,518508488.0948948,963792.1519712126,6865478.072778338,29443662.116460625,9674578.174535597,3212964688.473146,1083960411.4067137,54570134.817399874,107974447.72748947,933727261.4312431,369469649.04100835,11326370.521768918,3102386.1762737064,69746590.48025043,3144676.3241181425,20507385.85066616,557608.0544110333,23662193.05944895,155982553.0876258,3998540172.4058986,119491943.59647983,972217.635895857,11490770.457273424,977574.7310839108,1671286595.8919344,9558489.518678628,624415368.84055,55749560.71335291,9655182.942468489
Transport,TransportService,36149838.50256792,7639281.233285978,15732438.202889081,25666802.54367274,2238013.6729070623,18929040.640574545,270705.92042066826,438930.4416682615,13165339.405385934,27707790.479521506,6547057.897738379,2308941.526758856,95789287.9648967,313942.1526619786,1360933.1519942144,14305589.219783263,199622.29424312,12907370.283379795,1728676.7882843434,424549.06145216525,10495273.99041724,4230237.778876728,43088420.8043311,94983441.19091412,2848517.1835266873,100069018.02251498,405421.23026049614,2629969.610210402,22060199.39251613,4396866.409193849,201463472.81275895,82005819.18603067,25271285.69481109,48335566.82351497,307325549.7802148,183056415.32357255,4840991.544959317,1027996.082067585,6413801.404215531,1273227.5534142256,7847571.8273427235,250666.23828565533,10103321.453330504,66534578.980038,2527046189.0365424,45641821.40324134,429293.19658450515,2462956.4087488167,420985.6693662882,271904419.40478945,3889943.2019884116,404988345.07753503,18250154.301747207,3535921.260547682
Transport,Vehicle,170280.95832214475,18661.7479803679,60095.17732957511,67926.67122728353,13991.250055032098,109650.20597383824,1825.2710767840044,1440.895787378163,66822.9189814089,111561.74238440464,17071.71358501212,16219.385134584003,516086.6087937736,620.8755117022991,4520.200644536402,63250.40855276591,546.5054527220323,85333.67643436026,4730.087198136814,1746.8923766476996,50857.15218563967,17825.27327928463,207542.64056591506,178768.83210222522,12358.224593109884,27776.680359940037,1934.1033803576654,5829.081874234695,70222.40127633972,11635.400668256423,45657.20937071923,27299.995951841258,76296.94726751355,74471.0435483616,491977.21029360057,226474.716791312,24513.247312580923,4116.341725500821,4525.803174028049,3761.0278713236,27010.06150856184,1047.2784662957242,43821.15526464719,311471.7502720023,3723237.476947863,192853.56316734845,2383.0570866276444,5158.396435783454,1040.156243993616,423455.6169625107,11366.628092534616,410249.7538686859,76587.69031910776,21332.55202038071
Water,Water,137298.5030499624,17500.65018402054,57078.847633383484,74791.5454282285,8168.304012878326,43369.25455646936,1086.956729199814,1645.8659016550394,52816.75587099969,136664.6147234378,11626.095224127639,8082.285120081307,239062.79863918517,1363.8153631384055,5366.844071772381,58504.854603088665,1241.4517861719187,44797.491814533154,1993.5867091400303,1535.5609431788441,51118.461024721,17617.490689601927,101346.85657245337,59131.31045590418,10182.992417607735,33012.958866729445,1416.093970478187,14931.293042338515,44735.033828241925,7986.778161266182,14200.255369854602,6957.404293459474,53654.81350603128,44361.04629893416,210740.76692280197,117041.58678553929,17694.767094593477,4066.3019354312723,3066.678006994375,4826.234147649728,15527.878516530844,953.2969903382582,40279.98592971601,246849.17400770067,10972008.099222181,209385.44785373675,1602.0662899691074,7135.888659268815,1108.956432687052,220067.01692929002,12030.823404078425,164520.32082723195,92524.74977554426,10117.277067885874
